футбол,το,ποδόσφαιρο,αθλητισμός,3
стадион,το,στάδιο,αθλητισμός,4
баскетбол,το, μπάσκετ,αθλητισμός,7
соревнование,ο,αγώνας,αθλητισμός,12
спорт,τα,αθλητικά,αθλητισμός,12
спортивное упражнение,η,γυμναστική,αθλητισμός,12
шахматы,το,σκάκι,αθλητισμός,12
футбольное поле,το,γήπεδο,αθλητισμός,14
спорт,ο,αθλητισμός,αθλητισμός,26
миллиард,το,δισεκατομμύριο,αριθμοί,4
миллион,το,εκατομμύριο,αριθμοί,4
нуль,,μηδέν,αριθμοί,4
второй,,δεύτερος,αριθμοί,5
первый,,πρώτος,αριθμοί,5
пятый,,πέμπτος,αριθμοί,5
третий,,τρίτος,αριθμοί,5
четвертый,,τέταρτος,αριθμοί,5
килограмм картошки,το,κιλό πατάτες,αριθμοί,9
грамм,,το γραμμάριο,αριθμοί,10
полкило (брынзы),,μισό κιλό φέτα,αριθμοί,10
четверть,το,τέταρτο,αριθμοί,10
несколько,,μερικοί/κές/κά,αριθμοί,14
километр,το,χιλιόμετρο ,αριθμοί,21
большее из кого-нибудь,,περισσότερο από κάτι,αριθμοί,22
кв. м,,τ.μ. (το τετραγωνικό μέτρο),αριθμοί,22
половина,,μισός/ή/ό,αριθμοί,26
Cанкт-Петербург,η,Αγία Πετρούπολη,γεωγραφία,1
Австрия,η,Αυστρία,γεωγραφία,1
автономная область,η,αυτόνομη κοινότητα,γεωγραφία,1
Америка,η,Αμερική,γεωγραφία,1
Англия,η,Αγγλία,γεωγραφία,1
арабский язык,τα,αραβικά,γεωγραφία,1
Афины,η,Αθήνα,γεωγραφία,1
баскский язык,τα,βασκικά,γεωγραφία,1
Бельгия,το,Βέλγιο (ίου),γεωγραφία,1
Бостон,η,Βοστώνη,γεωγραφία,1
Германия,η,Γερμανία,γεωγραφία,1
Голландия,η,Ολλανδία,γεωγραφία,1
голландский язык,τα,ολλανδικά,γεωγραφία,1
Дания,η,Δανία,γεωγραφία,1
исландский язык,τα,ισλανδικά,γεωγραφία,1
Испания,η,Ισπανία,γεωγραφία,1
итальянский язык,τα,ιταλικά,γεωγραφία,1
Канада,ο,Καναδάς,γεωγραφία,1
Лондон,τα,Λονδίνο,γεωγραφία,1
Мадрид,η,Μαδρίτη,γεωγραφία,1
Мексика,το,Μεξικό,γεωγραφία,1
Москва,η,Μόσχα,γεωγραφία,1
немецкий,τα,γερμανικά,γεωγραφία,1
Норвегия,η,Νορβηγία,γεωγραφία,1
Нью-Йорк,η,Νέα Υόρκη,γεωγραφία,1
Париж,το,Παρίσι,γεωγραφία,1
португальский язык,τα,πορτογαλικά,γεωγραφία,1
Рим,η,Ρώμη,γεωγραφία,1
русский язык,τα,ρωσικά,γεωγραφία,1
сербский язык,τα,σερβικά,γεωγραφία,1
Страна Басков,η,Χώρα των Βάσκων,γεωγραφία,1
Франция,η,Γαλλία,γεωγραφία,1
французский язык,τα,γαλλικά,γεωγραφία,1
Швейцария,η,Ελβετία,γεωγραφία,1
Швеция,η,Σουηδία,γεωγραφία,1
американец/американка,ο/η,αμερικανός/αμερικανίδα,γεωγραφία,2
грек/гречанка,ο/η,έλληνας/ελληνίδα,γεωγραφία,2
Ингерманландия,η,Ίνγκρια,γεωγραφία,2
Перей,ο,Πειραιάς,γεωγραφία,7
Эгина,η,Αίγινα,γεωγραφία,7
Гидра,η,Ύδρα,γεωγραφία,8
Метеора,τα,Μετέωρα,γεωγραφία,8
Миконос,η,Μύκονος,γεωγραφία,9
итальянка,η,ιταλίδα,γεωγραφία,10
Кифера,τα,Κύθηρα,γεωγραφία,11
Милос,η,Μήλος,γεωγραφία,11
византийский,,βυζαντινός,γεωγραφία,12
бразильский,,βραζιλιάνικος,γεωγραφία,17
Малая Азия,η,Μικρά Ασία,γεωγραφία,17
европейский,,ευρωπαϊκός/η/ο,γεωγραφία,21
венгерский язык,τα,ουγγρικά,γεωγραφία,25
Венгрия,η,Ουγγαρία,γεωγραφία,25
восточный,,ανατολικός/ή/ό,γεωγραφία,26
западный,,δυτικός/ή/ό,γεωγραφία,26
северный,,βόρειος/α/ο,γεωγραφία,26
южный,,νότιος/α/ο,γεωγραφία,26
местоимение,η,αντωνυμία,γλώσσα,25
где,,πού,διάφορα,1
или,,ή,διάφορα,1
итак,,λοιπόν,διάφορα,1
однако,,αλλά,διάφορα,1
отлично,,μάλιστα,διάφορα,1
пожалуйста,,παρακαλώ,διάφορα,1
почему/потому что,,γιατί,διάφορα,1
превосходно,,μιά χαρά,διάφορα,1
с приездом,,καλώς όρισες,διάφορα,1
сейчас,,τώρα,διάφορα,1
только чуть-чуть,,αλλά λίγο,διάφορα,1
хорошо,,καλά,διάφορα,1
чудесно,,θαύμα,διάφορα,1
ой-ой-ой,,"πω, πω",διάφορα,3
ОК,,εντάξει,διάφορα,3
очень,,πολύ,διάφορα,3
прошу прощения,,συγγνώμη,διάφορα,3
с,,με + Acc,διάφορα,3
так себе,,έτσι κι έτσι,διάφορα,3
"весь, целый",,όλος,διάφορα,4
возможно,,μήπως,διάφορα,4
до свиданья,,αντίο,διάφορα,4
конечно,,βεβαίως/βέβαια,διάφορα,4
не думаю,,δεν νομίζω,διάφορα,4
пожалуйста,,ορίστε,διάφορα,4
прекрасно,,ωραία,διάφορα,4
Господи!,,Θεέ μου!,διάφορα,5
кто-то,,κάποιος,διάφορα,5
например,,για παράδειγμα,διάφορα,6
вам того же,,επίσης,διάφορα,7
вместе,,μαζί,διάφορα,7
если,,αν,διάφορα,7
ни - ни,,ούτε - ούτε,διάφορα,7
очень-очень,,πάρα πολύ,διάφορα,7
приятного аппетита,,καλή όρεξη,διάφορα,7
что,,τι,διάφορα,7
давай с нами,,έλα κι εσύ μαζί μας,διάφορα,8
настолько,,τόσο,διάφορα,8
"ну конечно, как же - как же",,άκου λέει,διάφορα,8
возможно,,ίσως,διάφορα,9
вот что,,"λοιπόν, εχούμε και λέμε",διάφορα,9
все вместе,,όλοι μαζί,διάφορα,9
еще,,πιό,διάφορα,9
из-под курицы,,άπο την κότα,διάφορα,9
как,,πώς,διάφορα,9
нет времени,,δεν έχω καιρό,διάφορα,9
с собой,,μαζί μου,διάφορα,9
скажи(те)-ка мне!,,δε μου λες,διάφορα,9
хорошей поездки!,,καλό ταξίδι!,διάφορα,9
в этом отношении,,εδώ που τα λέμε,διάφορα,10
выздоравливай,,περαστικά,διάφορα,10
не беспокойся,,μην κάνεις έτσι,διάφορα,10
не совсем,,όχι ακριβώς,διάφορα,10
ну!,,έλα τώρα,διάφορα,10
осторожно,,προσεκτικά,διάφορα,10
прав,,έχω δίκιο,διάφορα,10
простите,,με συγχωρείτε,διάφορα,10
такой же (это он),,ο ίδιος,διάφορα,10
тот,,εκείνος/η/ο,διάφορα,10
что поделаешь!,,τι να κάνουμε,διάφορα,10
это Елена,,εδώ Ελένη,διάφορα,10
знаешь что?,,ξέρεις κάτι;,διάφορα,11
какая погода?,,τι καιρό κάνει;,διάφορα,11
один/одна,,μόνη της/σου/μου / μόνος του,διάφορα,11
откуда мне знать,,ξέρω ΄γω;,διάφορα,11
алло,,εμπρός,διάφορα,12
будьте здоровы,,με τις υγείες σας,διάφορα,12
всё то же самое,,όλο τα ίδια,διάφορα,12
долго ждать,,περιμένω πολύ,διάφορα,12
еда готова,,έγινε το φαγητό,διάφορα,12
знаешь новости?,,έμαθες τα νέα;,διάφορα,12
как считаешь нужным,,ότι νομίζεις,διάφορα,12
млн. раз,,τόσες φορές,διάφορα,12
ничего страшного,,δεν πειράζει!,διάφορα,12
опять 25,,μα πάλι τα ίδια,διάφορα,12
по привычке,,από συνήθεια,διάφορα,12
понятно,,κατάλαβα,διάφορα,12
с новым годом,,καλή χρονιά σε σένα και στην οικογένειά σας,διάφορα,12
хорошо провести время,,καλή διασκέδαση,διάφορα,12
чей,,ποιανού,διάφορα,12
это не то же самое,,δεν είναι το ίδιο,διάφορα,12
без (льда),,χωρίς πάγο,διάφορα,13
какая жалость!,,τι κρίμα!,διάφορα,13
у меня нет настроения,,δεν έχω κέφι να κάνω κάτι,διάφορα,13
неправ,,έχω άδικο,διάφορα,14
еще (что-н.),,κάτι/τίποτα άλλο,διάφορα,15
на красный свет,,με κόκκινο,διάφορα,15
я больше не могу,,δεν μπορώ άλλο,διάφορα,15
я раскричусь!,,θα βάλω τις φωνές,διάφορα,15
вот и молодец,,έτσι μπράβο,διάφορα,16
за твое/ваше здоровье,,στην υγειά σου/σας,διάφορα,16
как(видишь),,όπως (βλέπεις),διάφορα,16
оно тебе пойдет на пользу,,θα σου κάνει καλό,διάφορα,16
удачи,,καλή επιτυχία!,διάφορα,16
тогда ладно,,τότε καλά,διάφορα,17
туча народу,,πολύς κόσμος,διάφορα,17
всё более,,όλο και πιο,διάφορα,18
однако,,όμως,διάφορα,18
большой привет (кому-л.),,πολλούς χαιρετισμούς σε κπ,διάφορα,21
и проч.,,κ.λπ. (και τα λοιπά),διάφορα,21
постскриптум,,Υ.Γ. (το υστερόγραφο),διάφορα,21
как сыр в масле,,στα πούπουλα,διάφορα,22
например,,π.χ. (παραδείγματος χάριν),διάφορα,22
"поэтому, для этого",,γι΄αυτό,διάφορα,22
с удовольствием,,πολύ ευχαρίστως,διάφορα,22
"где, куда (косв.)",,όπου,διάφορα,23
"как, пока",,όσο,διάφορα,23
на чьем-л. месте,,στη θέση καποιανού,διάφορα,23
